;0;1;2;3;4;5;6;7;8;9;10;11;type
1520;9536.86033974;-5366.91656483;-6506.56786875;-1475.89669125;-3280.17445205;-7681.03394669;5653.22540891;5157.83680528;-4799.81165782;-1877.88834993;-3993.09274364;-2129.54062948;0.0
798;5176.76406713;-10877.6604107;6499.09572686;7512.22466885;2219.98156539;2065.4337347;-6205.13010843;-1755.81993029;-1138.37480801;6981.52565752;-336.285174043;1545.83622548;1.0
2026;28092.2107398;-22890.321621;-10655.887615;4714.03578098;3142.36113179;-4694.48622692;6923.7254158;3416.93504784;5744.04464574;-4335.23209849;2035.24147928;437.2428649;0.0
1595;23007.2626145;-14397.5272796;5945.22332985;2584.31266261;-399.053343161;-6378.88777184;-113.104469649;5057.50670966;-4857.05661053;5204.93178912;-1903.39916722;4917.83206158;0.0
771;-6519.21578303;10595.5596887;-15522.2919889;738.878808824;-359.711049746;-618.588720032;-7751.505618;-3554.17884632;902.076025544;1696.64280076;1960.53894481;74.2975157875;1.0
1531;25471.233866;-23607.9411875;712.250554702;8162.89223249;4100.14044264;-4758.12252046;-186.524067543;91.2036245493;-1598.78257948;-884.51704151;-2868.41407244;-2114.12253458;0.0
1662;-3901.52107219;-9128.41916575;5957.80232;14780.8583967;6383.83684593;-7384.64436631;-9599.26567355;-1857.21908216;2791.69929107;4401.8084051;-4608.78315163;2510.53748483;0.0
877;23538.5319591;11255.0537994;8897.40817396;904.639506697;-1565.81122872;13302.8554475;-4227.48715177;276.515932312;-5186.09504014;2285.60209014;-3695.41421337;1637.80476618;1.0
1611;-7400.2008764;-10401.4255666;11562.0770966;3047.85492736;6812.89355765;-7428.86556252;-1400.02192541;181.433998902;-2783.43189367;-1170.56781247;-2028.43520334;3122.08780131;0.0
1661;-50810.7953874;921.180747884;33942.3787806;-10186.099235;-12302.2495978;-733.430437233;3555.11811502;-2559.72116918;2993.90417124;-593.058021662;3157.22795717;1516.81463169;0.0
1974;13384.6825466;-4048.56074436;-21312.8882795;-1638.73160443;-1114.82511242;-12069.6173787;6596.5390895;9106.28510171;4092.6748156;-3146.36744266;-3277.38016417;73.1092557434;0.0
